,Date,Date_local,wind speed at 100m (m/s),surface air pressure (Pa),relative humidity at 2m (%),air temperature at 2m (C),wind_power,h,cos_h,sin_h,week,cos_w,sin_w,month,cos_m,sin_m,pool_price,demand
0,2018-01-01 00:00:00+00:00,2017-12-31 17:00:00-07:00,8.67,87860,75.48,-26.2,844.7049,17,-0.258819045,-0.965925826,52,0.992981096,-0.118273171,12,1,-2.45E-16,44.28,39889.46684
1,2018-01-01 01:00:00+00:00,2017-12-31 18:00:00-07:00,9,87840,74.03,-27.5,949.2063492,18,-1.84E-16,-1,52,0.992981096,-0.118273171,12,1,-2.45E-16,38.5,38729.95232
2,2018-01-01 02:00:00+00:00,2017-12-31 19:00:00-07:00,8.05,87790,71.72,-28.77,668.8526088,19,0.258819045,-0.965925826,52,0.992981096,-0.118273171,12,1,-2.45E-16,33.73,36866.05982
3,2018-01-01 03:00:00+00:00,2017-12-31 20:00:00-07:00,8.34,87780,71.34,-27.78,747.863327,20,0.5,-0.866025404,52,0.992981096,-0.118273171,12,1,-2.45E-16,40.49,35153.8795
4,2018-01-01 04:00:00+00:00,2017-12-31 21:00:00-07:00,5.26,87700,66.96,-26.2,160.2719723,21,0.707106781,-0.707106781,52,0.992981096,-0.118273171,12,1,-2.45E-16,39.69,34341.13567
5,2018-01-01 05:00:00+00:00,2017-12-31 22:00:00-07:00,3.6,87710,57.64,-22.24,26.57777778,22,0.866025404,-0.5,52,0.992981096,-0.118273171,12,1,-2.45E-16,49.62,32683.13827
6,2018-01-01 06:00:00+00:00,2017-12-31 23:00:00-07:00,0.99,87680,57.89,-22.18,0,23,0.965925826,-0.258819045,52,0.992981096,-0.118273171,12,1,-2.45E-16,43.78,30645.86042
7,2018-01-01 07:00:00+00:00,2018-01-01 00:00:00-07:00,1.25,87730,57.78,-21.7,0,0,1,0,1,0.992981096,0.118273171,1,0.866025404,0.5,45.9,28630.25574
8,2018-01-01 08:00:00+00:00,2018-01-01 01:00:00-07:00,1.91,87750,57.05,-22.15,0,1,0.965925826,0.258819045,1,0.992981096,0.118273171,1,0.866025404,0.5,45.25,27123.97052
9,2018-01-01 09:00:00+00:00,2018-01-01 02:00:00-07:00,1.06,87740,60.49,-23.02,0,2,0.866025404,0.5,1,0.992981096,0.118273171,1,0.866025404,0.5,40,25682.70481
10,2018-01-01 10:00:00+00:00,2018-01-01 03:00:00-07:00,2.03,87720,62.32,-22.69,0,3,0.707106781,0.707106781,1,0.992981096,0.118273171,1,0.866025404,0.5,39.97,25000
11,2018-01-01 11:00:00+00:00,2018-01-01 04:00:00-07:00,5.16,87710,63.32,-23.96,149.2608,4,0.5,0.866025404,1,0.992981096,0.118273171,1,0.866025404,0.5,39.99,25476.80971
12,2018-01-01 12:00:00+00:00,2018-01-01 05:00:00-07:00,7.64,87780,68.89,-23.49,566.4730225,5,0.258819045,0.965925826,1,0.992981096,0.118273171,1,0.866025404,0.5,40.02,25953.61942
13,2018-01-01 13:00:00+00:00,2018-01-01 06:00:00-07:00,9.41,87850,67.59,-22.8,1090.15081,6,6.12E-17,1,1,0.992981096,0.118273171,1,0.866025404,0.5,40.02,26744.69007
14,2018-01-01 14:00:00+00:00,2018-01-01 07:00:00-07:00,10.27,87840,69.61,-22.93,1428.145427,7,-0.258819045,0.965925826,1,0.992981096,0.118273171,1,0.866025404,0.5,37.95,26831.38275
15,2018-01-01 15:00:00+00:00,2018-01-01 08:00:00-07:00,9.57,87860,72.79,-22.07,1148.6039,8,-0.5,0.866025404,1,0.992981096,0.118273171,1,0.866025404,0.5,36.43,27178.15345
16,2018-01-01 16:00:00+00:00,2018-01-01 09:00:00-07:00,10.11,87870,72.39,-21.92,1360.7513,9,-0.707106781,0.707106781,1,0.992981096,0.118273171,1,0.866025404,0.5,36.43,27719.98266
17,2018-01-01 17:00:00+00:00,2018-01-01 10:00:00-07:00,10.15,87900,71.17,-20.78,1377.401683,10,-0.866025404,0.5,1,0.992981096,0.118273171,1,0.866025404,0.5,36.43,28749.45817
18,2018-01-01 18:00:00+00:00,2018-01-01 11:00:00-07:00,9.55,87850,68.14,-18.29,1141.189249,11,-0.965925826,0.258819045,1,0.992981096,0.118273171,1,0.866025404,0.5,36.43,29442.99957
19,2018-01-01 19:00:00+00:00,2018-01-01 12:00:00-07:00,8.98,87870,70.05,-15.97,942.649513,12,-1,1.22E-16,1,0.992981096,0.118273171,1,0.866025404,0.5,35.77,29464.67274
20,2018-01-01 20:00:00+00:00,2018-01-01 13:00:00-07:00,8.83,87860,75.41,-13.41,894.3976426,13,-0.965925826,-0.258819045,1,0.992981096,0.118273171,1,0.866025404,0.5,34.54,29161.24837
21,2018-01-01 21:00:00+00:00,2018-01-01 14:00:00-07:00,9.66,87810,76.69,-12.22,1182.355086,14,-0.866025404,-0.5,1,0.992981096,0.118273171,1,0.866025404,0.5,34.92,29031.20936
22,2018-01-01 22:00:00+00:00,2018-01-01 15:00:00-07:00,11.41,87750,68.67,-11.01,1972.031927,15,-0.707106781,-0.707106781,1,0.992981096,0.118273171,1,0.866025404,0.5,34.54,29594.71175
23,2018-01-01 23:00:00+00:00,2018-01-01 16:00:00-07:00,12.53,87720,55.5,-9.3,2300,16,-0.5,-0.866025404,1,0.992981096,0.118273171,1,0.866025404,0.5,35.1,32954.05288
24,2018-01-02 00:00:00+00:00,2018-01-01 17:00:00-07:00,13.88,87690,47.17,-9.6,2300,17,-0.258819045,-0.965925826,1,0.992981096,0.118273171,1,0.866025404,0.5,36.43,36746.85739
25,2018-01-02 01:00:00+00:00,2018-01-01 18:00:00-07:00,14.91,87780,46.17,-8.25,2300,18,-1.84E-16,-1,1,0.992981096,0.118273171,1,0.866025404,0.5,36.43,35348.93801
26,2018-01-02 02:00:00+00:00,2018-01-01 19:00:00-07:00,14.12,87790,46.4,-8.52,2300,19,0.258819045,-0.965925826,1,0.992981096,0.118273171,1,0.866025404,0.5,35.74,33885.99913
27,2018-01-02 03:00:00+00:00,2018-01-01 20:00:00-07:00,12.34,87790,46.09,-8.28,2300,20,0.5,-0.866025404,1,0.992981096,0.118273171,1,0.866025404,0.5,35.23,32097.96272
28,2018-01-02 04:00:00+00:00,2018-01-01 21:00:00-07:00,12.4,87840,47.59,-7.17,2300,21,0.707106781,-0.707106781,1,0.992981096,0.118273171,1,0.866025404,0.5,33.53,29497.18249
