,Date,Date_local,wind speed at 100m (m/s),surface air pressure (Pa),relative humidity at 2m (%),air temperature at 2m (C),wind_power,h,cos_h,sin_h,week,cos_w,sin_w,month,cos_m,sin_m,workday,gas_price,carbon_tax_rate,demand
0,2015-02-09 00:30:00+00:00,2015-02-08 19:30:00-05:00,13.45,98030,79.9,-13.11,2300,19,0.258819045,-0.965925826,6,0.757511242,0.652822118,2,0.5,0.866025404,0,5.099605272,0,11768.12498
1,2015-02-09 01:30:00+00:00,2015-02-08 20:30:00-05:00,13.15,98120,78.25,-13.73,2300,20,0.5,-0.866025404,6,0.757511242,0.652822118,2,0.5,0.866025404,0,5.099605272,0,9565.837076
2,2015-02-09 02:30:00+00:00,2015-02-08 21:30:00-05:00,11.99,98180,77.19,-15.03,2294.163597,21,0.707106781,-0.707106781,6,0.757511242,0.652822118,2,0.5,0.866025404,0,5.099605272,0,10682.46042
3,2015-02-09 03:30:00+00:00,2015-02-08 22:30:00-05:00,12.86,98190,77.45,-16.29,2300,22,0.866025404,-0.5,6,0.757511242,0.652822118,2,0.5,0.866025404,0,5.099605272,0,10956.58384
4,2015-02-09 04:30:00+00:00,2015-02-08 23:30:00-05:00,13.17,98220,77.18,-16.93,2300,23,0.965925826,-0.258819045,6,0.757511242,0.652822118,2,0.5,0.866025404,0,5.099605272,0,10608.52952
5,2015-02-09 05:30:00+00:00,2015-02-09 00:30:00-05:00,12.82,98230,77.09,-17.36,2300,0,1,0,7,0.674983002,0.737833279,2,0.5,0.866025404,1,5.099605272,0,8167.39355
6,2015-02-09 06:30:00+00:00,2015-02-09 01:30:00-05:00,12.01,98250,78.3,-18.11,2300,1,0.965925826,0.258819045,7,0.674983002,0.737833279,2,0.5,0.866025404,1,5.099605272,0,8093.000847
7,2015-02-09 07:30:00+00:00,2015-02-09 02:30:00-05:00,12.19,98290,78.33,-18.45,2300,2,0.866025404,0.5,7,0.674983002,0.737833279,2,0.5,0.866025404,1,5.099605272,0,9258.368454
8,2015-02-09 08:30:00+00:00,2015-02-09 03:30:00-05:00,12.32,98320,79.43,-19.28,2300,3,0.707106781,0.707106781,7,0.674983002,0.737833279,2,0.5,0.866025404,1,5.099605272,0,8667.629844
9,2015-02-09 09:30:00+00:00,2015-02-09 04:30:00-05:00,12.43,98330,79.5,-19.87,2300,4,0.5,0.866025404,7,0.674983002,0.737833279,2,0.5,0.866025404,1,5.099605272,0,8116.518128
10,2015-02-09 10:30:00+00:00,2015-02-09 05:30:00-05:00,12.56,98400,79.42,-20.25,2300,5,0.258819045,0.965925826,7,0.674983002,0.737833279,2,0.5,0.866025404,1,5.099605272,0,10185.25021
11,2015-02-09 11:30:00+00:00,2015-02-09 06:30:00-05:00,12.39,98460,79.01,-20.31,2300,6,6.12E-17,1,7,0.674983002,0.737833279,2,0.5,0.866025404,1,5.099605272,0,12167.34411
