,Date,Date_local,wind speed at 100m (m/s),surface air pressure (Pa),relative humidity at 2m (%),air temperature at 2m (C),wind_power,h,cos_h,sin_h,week,cos_w,sin_w,month,cos_m,sin_m,workday,gas_price,carbon_tax_rate,demand
0,2017-01-01 00:30:00+00:00,2016-12-31 19:30:00-05:00,15.16,96650,85.52,-1.39,2300,19,0.258819045,-0.965925826,52,0.992981096,-0.118273171,12,1,-2.45E-16,0,4.490000928,0,6910.739318
1,2017-01-01 01:30:00+00:00,2016-12-31 20:30:00-05:00,13.61,96740,92.34,-1.45,2300,20,0.5,-0.866025404,52,0.992981096,-0.118273171,12,1,-2.45E-16,0,4.490000928,0,7045.592188
2,2017-01-01 02:30:00+00:00,2016-12-31 21:30:00-05:00,13.83,96870,93.37,-0.99,2300,21,0.707106781,-0.707106781,52,0.992981096,-0.118273171,12,1,-2.45E-16,0,4.490000928,0,7264.940186
3,2017-01-01 03:30:00+00:00,2016-12-31 22:30:00-05:00,14.65,97060,87.62,-1.53,2300,22,0.866025404,-0.5,52,0.992981096,-0.118273171,12,1,-2.45E-16,0,4.490000928,0,7688.860905
4,2017-01-01 04:30:00+00:00,2016-12-31 23:30:00-05:00,13.4,97260,82.31,-3.64,2300,23,0.965925826,-0.258819045,52,0.992981096,-0.118273171,12,1,-2.45E-16,0,4.490000928,0,6210.435742
5,2017-01-01 05:30:00+00:00,2017-01-01 00:30:00-05:00,13.08,97420,81.34,-5.69,2300,0,1,0,52,0.992981096,-0.118273171,1,0.866025404,0.5,0,4.490000928,0,7067.742634
6,2017-01-01 06:30:00+00:00,2017-01-01 01:30:00-05:00,10.34,97560,83.73,-6.7,1458.299118,1,0.965925826,0.258819045,52,0.992981096,-0.118273171,1,0.866025404,0.5,0,4.490000928,0,6809.4474
7,2017-01-01 07:30:00+00:00,2017-01-01 02:30:00-05:00,11.28,97740,81.66,-5.59,1904.158171,2,0.866025404,0.5,52,0.992981096,-0.118273171,1,0.866025404,0.5,0,4.490000928,0,6919.023627
8,2017-01-01 08:30:00+00:00,2017-01-01 03:30:00-05:00,11.04,97910,83.36,-6.9,1782.902756,3,0.707106781,0.707106781,52,0.992981096,-0.118273171,1,0.866025404,0.5,0,4.490000928,0,5987.388294
9,2017-01-01 09:30:00+00:00,2017-01-01 04:30:00-05:00,11.3,98000,83.29,-5.11,1914.499177,4,0.5,0.866025404,52,0.992981096,-0.118273171,1,0.866025404,0.5,0,4.490000928,0,6156.675015
