,Date,Date_local,surface air pressure (Pa),relative humidity at 2m (%),air temperature at 2m (C),wind_power,h,cos_h,sin_h,week,cos_w,sin_w,month,cos_m,sin_m,workday,gas_price,carbon_tax_rate,demand
0,2015-01-01 00:30:00+00:00,2014-12-31 19:30:00-05:00,98220,81.2,-10.01,1632.856,19,0.258819045,-0.965925826,1,0.992981096,0.118273171,12,1,-2.45E-16,1,5.099605272,0,6722
1,2015-01-01 01:30:00+00:00,2014-12-31 20:30:00-05:00,98200,77.96,-9.84,1503.0872,20,0.5,-0.866025404,1,0.992981096,0.118273171,12,1,-2.45E-16,1,5.099605272,0,6903
2,2015-01-01 02:30:00+00:00,2014-12-31 21:30:00-05:00,98120,85.93,-9.53,1322.5864,21,0.707106781,-0.707106781,1,0.992981096,0.118273171,12,1,-2.45E-16,1,5.099605272,0,9225
3,2015-01-01 03:30:00+00:00,2014-12-31 22:30:00-05:00,98010,85.46,-8.91,1106.5856,22,0.866025404,-0.5,1,0.992981096,0.118273171,12,1,-2.45E-16,1,5.099605272,0,12750
4,2015-01-01 04:30:00+00:00,2014-12-31 23:30:00-05:00,97880,85.47,-8.76,978.8432,23,0.965925826,-0.258819045,1,0.992981096,0.118273171,12,1,-2.45E-16,1,5.099605272,0,14925
5,2015-01-01 05:30:00+00:00,2015-01-01 00:30:00-05:00,97790,88.3,-8.12,932.08,0,1,0,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,16575
6,2015-01-01 06:30:00+00:00,2015-01-01 01:30:00-05:00,97770,88.35,-7.88,972.1224,1,0.965925826,0.258819045,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,16500
7,2015-01-01 07:30:00+00:00,2015-01-01 02:30:00-05:00,97720,89.15,-7.56,855.5328,2,0.866025404,0.5,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,15450
8,2015-01-01 08:30:00+00:00,2015-01-01 03:30:00-05:00,97750,87.9,-7.64,1008.2152,3,0.707106781,0.707106781,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,13650
9,2015-01-01 09:30:00+00:00,2015-01-01 04:30:00-05:00,97680,86.37,-8,1152.8032,4,0.5,0.866025404,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,10950
10,2015-01-01 10:30:00+00:00,2015-01-01 05:30:00-05:00,97690,84.5,-8.17,1218.9352,5,0.258819045,0.965925826,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,8453
11,2015-01-01 11:30:00+00:00,2015-01-01 06:30:00-05:00,97680,83.97,-7.98,1169.0848,6,6.12E-17,1,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,7575
12,2015-01-01 12:30:00+00:00,2015-01-01 07:30:00-05:00,97680,85.14,-7.69,1117.4632,7,-0.258819045,0.965925826,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,8250
13,2015-01-01 13:30:00+00:00,2015-01-01 08:30:00-05:00,97600,85.86,-7.29,1170.6896,8,-0.5,0.866025404,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,8925
14,2015-01-01 14:30:00+00:00,2015-01-01 09:30:00-05:00,97600,86.84,-6.56,1206.9928,9,-0.707106781,0.707106781,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,10500
15,2015-01-01 15:30:00+00:00,2015-01-01 10:30:00-05:00,97530,85.93,-6.12,1153.6248,10,-0.866025404,0.5,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,12750
16,2015-01-01 16:30:00+00:00,2015-01-01 11:30:00-05:00,97490,84.04,-5.82,1057.4608,11,-0.965925826,0.258819045,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,17250
17,2015-01-01 17:30:00+00:00,2015-01-01 12:30:00-05:00,97390,83.55,-5.42,1010.752,12,-1,1.22E-16,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,20761
18,2015-01-01 18:30:00+00:00,2015-01-01 13:30:00-05:00,97290,87.08,-5.4,638.2392,13,-0.965925826,-0.258819045,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,23345
19,2015-01-01 19:30:00+00:00,2015-01-01 14:30:00-05:00,97290,89.83,-5.05,341.0472,14,-0.866025404,-0.5,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,21642
20,2015-01-01 20:30:00+00:00,2015-01-01 15:30:00-05:00,97280,89.04,-4.49,288.9928,15,-0.707106781,-0.707106781,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,20918
21,2015-01-01 21:30:00+00:00,2015-01-01 16:30:00-05:00,97360,90.23,-4.3,278.3864,16,-0.5,-0.866025404,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,15179
22,2015-01-01 22:30:00+00:00,2015-01-01 17:30:00-05:00,97420,90.5,-4.36,259.2968,17,-0.258819045,-0.965925826,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,7927
23,2015-01-01 23:30:00+00:00,2015-01-01 18:30:00-05:00,97490,93.8,-3.98,243.304,18,-1.84E-16,-1,1,0.992981096,0.118273171,1,0.866025404,0.5,1,5.099605272,0,6675
